video_name,video_label,predict_label,corret
01-01-01-01-02-01-15.mp4,neutral,neutral,True
01-01-01-01-02-02-08.mp4,neutral,neutral,True
01-01-02-01-01-02-14.mp4,calm,calm,True
01-01-02-01-01-02-22.mp4,calm,calm,True
01-01-03-01-01-01-14.mp4,happy,happy,True
01-01-03-01-01-02-13.mp4,happy,happy,True
01-01-04-01-01-02-14.mp4,sad,sad,True
01-01-04-01-01-02-21.mp4,sad,sad,True
01-01-05-01-01-01-18.mp4,angry,angry,True
01-01-05-01-01-02-09.mp4,angry,angry,True
01-01-06-01-02-01-11.mp4,fearful,fearful,True
01-01-06-01-02-01-23.mp4,fearful,fearful,True
01-01-07-01-01-02-04.mp4,disgust,disgust,True
01-01-07-01-01-02-16.mp4,disgust,disgust,True
01-01-08-01-01-01-06.mp4,surprised,surprised,True
01-01-08-01-01-02-02.mp4,surprised,surprised,True
-,-,accuracy = ,100.0
