video_name,video_label,predict_label,corret
01-01-01-01-02-02-12.mp4,neutral,neutral,True
01-01-01-01-02-02-22.mp4,neutral,neutral,True
01-01-02-01-02-01-01.mp4,calm,calm,True
01-01-02-01-02-01-05.mp4,calm,calm,True
01-01-03-01-02-01-19.mp4,happy,happy,True
01-01-03-01-02-02-01.mp4,happy,happy,True
01-01-04-01-02-01-05.mp4,sad,sad,True
01-01-04-01-02-02-01.mp4,sad,sad,True
01-01-05-01-01-02-20.mp4,angry,angry,True
01-01-05-01-02-01-19.mp4,angry,angry,True
01-01-06-01-02-01-24.mp4,fearful,fearful,True
01-01-06-01-02-02-04.mp4,fearful,fearful,True
01-01-07-01-02-02-01.mp4,disgust,disgust,True
01-01-07-01-02-02-09.mp4,disgust,disgust,True
01-01-08-01-02-01-14.mp4,surprised,sad,False
01-01-08-01-02-01-21.mp4,surprised,surprised,True
-,-,accuracy = ,93.75
