video_name,video_label,predict_label,corret
02-01-07-02-02-02-14.mp4,disgust,disgust,True
01-01-04-02-02-02-07.mp4,sad,sad,True
02-01-05-01-01-01-05.mp4,angry,angry,True
01-01-04-02-02-01-22.mp4,sad,surprised,False
02-01-05-02-01-01-08.mp4,angry,angry,True
02-01-02-01-02-01-07.mp4,calm,calm,True
02-01-05-01-02-02-07.mp4,angry,angry,True
01-01-07-01-01-01-06.mp4,disgust,disgust,True
02-01-07-01-02-02-15.mp4,disgust,disgust,True
02-01-06-01-01-02-06.mp4,fearful,sad,False
01-01-01-01-02-02-12.mp4,neutral,neutral,True
02-01-03-01-01-02-17.mp4,happy,happy,True
01-01-04-01-02-02-23.mp4,sad,sad,True
01-01-07-02-01-02-10.mp4,disgust,disgust,True
01-01-04-01-02-02-01.mp4,sad,sad,True
02-01-08-01-01-01-20.mp4,surprised,surprised,True
01-01-03-02-01-02-01.mp4,happy,happy,True
02-01-04-02-02-02-03.mp4,sad,sad,True
01-01-02-02-02-02-10.mp4,calm,calm,True
01-01-04-01-01-02-21.mp4,sad,sad,True
01-01-03-01-02-02-09.mp4,happy,happy,True
02-01-04-02-01-02-02.mp4,sad,sad,True
01-01-02-02-01-02-15.mp4,calm,calm,True
02-01-07-01-01-01-22.mp4,disgust,disgust,True
02-01-07-02-02-01-24.mp4,disgust,disgust,True
-,-,accuracy = ,92.0
