video_name,video_label,predict_label,corret
01-01-06-02-02-02-05.mp4,fearful,fearful,True
02-01-05-01-01-01-07.mp4,angry,angry,True
02-01-08-02-01-01-03.mp4,surprised,surprised,True
02-01-05-01-02-01-06.mp4,angry,angry,True
02-01-02-01-02-02-19.mp4,calm,calm,True
01-01-05-02-01-01-07.mp4,angry,angry,True
01-01-02-01-01-01-18.mp4,calm,calm,True
02-01-05-02-01-01-05.mp4,angry,angry,True
01-01-06-01-02-01-23.mp4,fearful,fearful,True
02-01-08-02-01-01-11.mp4,surprised,surprised,True
02-01-04-02-02-02-11.mp4,sad,sad,True
01-01-07-01-01-02-16.mp4,disgust,disgust,True
02-01-05-02-02-02-17.mp4,angry,angry,True
02-01-08-02-01-01-09.mp4,surprised,surprised,True
01-01-04-01-01-02-14.mp4,sad,sad,True
01-01-03-01-02-01-19.mp4,happy,happy,True
01-01-06-01-01-02-04.mp4,fearful,fearful,True
02-01-03-02-02-02-19.mp4,happy,happy,True
01-01-04-01-01-01-21.mp4,sad,sad,True
02-01-08-01-01-02-18.mp4,surprised,surprised,True
01-01-08-02-01-02-09.mp4,surprised,surprised,True
02-01-07-01-02-02-12.mp4,disgust,disgust,True
02-01-08-02-02-01-06.mp4,surprised,surprised,True
01-01-03-02-02-01-21.mp4,happy,happy,True
01-01-05-01-01-01-06.mp4,angry,angry,True
-,-,accuracy = ,100.0
